date,bitcoin_unscaled,bitcoin_monthly,scale,bitcoin
2015-01-01,49,3.0,0.03,1.47
2015-01-02,50,3.0,0.03,1.5
2015-01-03,55,3.0,0.03,1.65
2015-01-04,68,3.0,0.03,2.04
2015-01-05,67,3.0,0.03,2.01
2015-01-06,74,3.0,0.03,2.2199999999999998
2015-01-07,54,3.0,0.03,1.6199999999999999
2015-01-08,60,3.0,0.03,1.7999999999999998
2015-01-09,55,3.0,0.03,1.65
2015-01-10,54,3.0,0.03,1.6199999999999999
2015-01-11,50,3.0,0.03,1.5
2015-01-12,47,3.0,0.03,1.41
2015-01-13,63,3.0,0.03,1.89
2015-01-14,100,3.0,0.03,3.0
2015-01-15,84,3.0,0.03,2.52
2015-01-16,70,3.0,0.03,2.1
2015-01-17,57,3.0,0.03,1.71
2015-01-18,54,3.0,0.03,1.6199999999999999
2015-01-19,51,3.0,0.03,1.53
2015-01-20,53,3.0,0.03,1.5899999999999999
2015-01-21,60,3.0,0.03,1.7999999999999998
2015-01-22,51,3.0,0.03,1.53
2015-01-23,53,3.0,0.03,1.5899999999999999
2015-01-24,53,3.0,0.03,1.5899999999999999
2015-01-25,57,3.0,0.03,1.71
2015-01-26,81,3.0,0.03,2.4299999999999997
2015-01-27,63,3.0,0.03,1.89
2015-01-28,61,3.0,0.03,1.8299999999999998
2015-01-29,58,3.0,0.03,1.74
2015-01-30,51,3.0,0.03,1.53
2015-01-31,47,3.0,0.03,1.41
2015-02-01,57,3.0,0.03,1.71
2015-02-02,52,3.0,0.03,1.56
2015-02-03,59,3.0,0.03,1.77
2015-02-04,53,3.0,0.03,1.5899999999999999
2015-02-05,57,3.0,0.03,1.71
2015-02-06,57,3.0,0.03,1.71
2015-02-07,70,3.0,0.03,2.1
2015-02-08,66,3.0,0.03,1.98
2015-02-09,70,3.0,0.03,2.1
2015-02-10,69,3.0,0.03,2.07
2015-02-11,58,3.0,0.03,1.74
2015-02-12,64,3.0,0.03,1.92
2015-02-13,55,3.0,0.03,1.65
2015-02-14,58,3.0,0.03,1.74
2015-02-15,58,3.0,0.03,1.74
2015-02-16,59,3.0,0.03,1.77
2015-02-17,60,3.0,0.03,1.7999999999999998
2015-02-18,57,3.0,0.03,1.71
2015-02-19,61,3.0,0.03,1.8299999999999998
2015-02-20,100,3.0,0.03,3.0
2015-02-21,63,3.0,0.03,1.89
2015-02-22,60,3.0,0.03,1.7999999999999998
2015-02-23,59,3.0,0.03,1.77
2015-02-24,55,3.0,0.03,1.65
2015-02-25,53,3.0,0.03,1.5899999999999999
2015-02-26,51,3.0,0.03,1.53
2015-02-27,53,3.0,0.03,1.5899999999999999
2015-02-28,50,3.0,0.03,1.5
2015-03-01,77,3.0,0.03,2.31
2015-03-02,83,3.0,0.03,2.4899999999999998
2015-03-03,83,3.0,0.03,2.4899999999999998
2015-03-04,83,3.0,0.03,2.4899999999999998
2015-03-05,82,3.0,0.03,2.46
2015-03-06,99,3.0,0.03,2.9699999999999998
2015-03-07,100,3.0,0.03,3.0
2015-03-08,83,3.0,0.03,2.4899999999999998
2015-03-09,83,3.0,0.03,2.4899999999999998
2015-03-10,97,3.0,0.03,2.9099999999999997
2015-03-11,95,3.0,0.03,2.85
2015-03-12,83,3.0,0.03,2.4899999999999998
2015-03-13,84,3.0,0.03,2.52
2015-03-14,81,3.0,0.03,2.4299999999999997
